condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
10,Normal (NG),sigma[1],Clean,Exponential,++,50,0.5,A,200,-0.01938327488631571,0.69,0.18945577595647137,0.10190890729047322,0.18846161332735692,-0.0865527060368837
10,Normal (NG),sigma[2],Clean,Exponential,++,50,0.5,A,200,-0.028095532392724602,0.71,0.188602033860914,0.10096407201028822,0.18649763600657976,-0.08553356399629154
10,Normal (NG),mu[1],Clean,Exponential,++,50,0.5,A,200,-0.008349669062707373,0.925,0.1583644406518685,0.14592805216473856,0.15814417184810337,-0.012216119683364807
10,Normal (NG),mu[2],Clean,Exponential,++,50,0.5,A,200,-0.010094299995786902,0.915,0.1677806481544176,0.14479569180069793,0.16747671779298617,-0.022681025992288245
10,Normal (NG),phi11,Clean,Exponential,++,50,0.5,A,200,-0.20321650006233616,0.945,0.15877792577498373,0.14717028970673193,0.13639251581297476,0.01077777389375717
10,Normal (NG),phi12,Clean,Exponential,++,50,0.5,A,200,-0.09207529804901983,0.96,0.15453070849911046,0.15164468363504768,0.15425615470420911,-0.0026114710691614307
10,Normal (NG),phi21,Clean,Exponential,++,50,0.5,A,200,0.008754529331897255,0.975,0.14164983675900578,0.14862039630930265,0.14164713140764534,0.006973264901657311
10,Normal (NG),phi22,Clean,Exponential,++,50,0.5,A,200,-0.21587819592084076,0.945,0.16561247334847481,0.1478751951014245,0.14131860476509586,0.006556590336328633
10,Normal (NG),rho,Clean,Exponential,++,50,0.5,A,200,-0.19525206972477305,0.81,0.1684707969381093,0.11581765927558074,0.1373010077822073,-0.02148334850662656
10,Exponential (EG),mu[1],Clean,Exponential,++,50,0.5,A,199,0.006634679532479025,0.964824120603015,0.12699365126183354,0.13690374412399814,0.12682022113335673,0.010083522990641414
10,Exponential (EG),mu[1],Problematic,Exponential,++,50,0.5,A,1,-0.09361264729478666,1,0.09361264729478666,0.1273228561873127,0,0.1273228561873127
